Image,Boundary Points,Hull Vertices,Hull Area (px²),Hull Perimeter,Object Area,Convexity
Histiocytoma_06_1_valid_patch_00,9926,13,1035382.0,3988.84,599476,0.579
Histiocytoma_06_1_valid_patch_01,8858,8,1046470.5,4083.61,644934,0.6163
Histiocytoma_14_1_valid_patch_00,8392,11,1045250.0,4052.1,586856,0.5615
Histiocytoma_14_1_valid_patch_01,10121,15,875732.5,3735.64,464416,0.5303
Histiocytoma_22_1_valid_patch_00,15440,11,1046307.0,4074.23,635361,0.6072
Histiocytoma_22_1_valid_patch_01,12214,16,1045136.0,4041.64,524066,0.5014
Histiocytoma_25_1_valid_patch_00,12708,11,1046474.0,4081.95,681854,0.6516
Histiocytoma_25_1_valid_patch_01,9606,13,1046456.0,4079.85,560601,0.5357
Histiocytoma_33_1_valid_patch_00,4742,8,1046505.0,4086.13,965024,0.9221
Histiocytoma_33_1_valid_patch_01,5057,11,1046493.0,4082.6,830889,0.794
Histiocytoma_37_1_valid_patch_00,7289,11,1045449.5,4061.97,734086,0.7022
Histiocytoma_37_1_valid_patch_01,7522,12,999874.5,3913.49,670293,0.6704
Histiocytoma_43_1_valid_patch_00,9821,17,993283.5,3826.82,557151,0.5609
Histiocytoma_43_1_valid_patch_01,21545,14,1045669.5,4047.61,663012,0.6341
Histiocytoma_48_1_valid_patch_00,9103,14,603755.5,3236.81,514006,0.8513
Histiocytoma_48_1_valid_patch_01,6210,11,1046450.0,4082.41,711981,0.6804
MCT_03_1_valid_patch_00,10441,15,993873.0,3912.54,586362,0.59
MCT_03_1_valid_patch_01,26561,19,937912.0,3714.31,422471,0.4504
MCT_10_1_valid_patch_00,9991,15,1044462.5,4040.67,565696,0.5416
MCT_10_1_valid_patch_01,8272,16,1045650.5,4054.08,615722,0.5888
MCT_13_1_valid_patch_00,17703,12,1046384.5,4078.16,600936,0.5743
MCT_13_1_valid_patch_01,11691,14,1046235.0,4071.55,611986,0.5849
MCT_23_1_valid_patch_00,21421,15,1041487.0,3999.85,486531,0.4672
MCT_23_1_valid_patch_01,11585,27,729132.5,3359.99,462268,0.634
MCT_25_1_valid_patch_00,15710,12,1039377.5,4017.96,504194,0.4851
MCT_25_1_valid_patch_01,8877,11,1046144.0,4068.96,592893,0.5667
MCT_39_1_valid_patch_00,7505,11,1046464.5,4082.02,652812,0.6238
MCT_39_1_valid_patch_01,11003,15,1045033.0,4035.11,554246,0.5304
MCT_41_1_valid_patch_00,18399,15,988394.0,3826.53,451598,0.4569
MCT_41_1_valid_patch_01,20194,13,1041916.0,4012.47,537480,0.5159
Melanoma_01_1_valid_patch_00,8335,14,1046339.0,4073.25,593167,0.5669
Melanoma_01_1_valid_patch_01,12069,17,1041934.5,4018.79,553944,0.5316
Melanoma_02_1_valid_patch_00,9203,15,1046344.5,4075.06,625848,0.5981
Melanoma_02_1_valid_patch_01,12192,15,1046110.5,4070.68,554593,0.5301
Melanoma_11_1_valid_patch_00,6910,16,1045382.5,4052.41,670283,0.6412
Melanoma_11_1_valid_patch_01,700,10,4558.5,279.2,50924,11.1712
Melanoma_25_1_valid_patch_00,13632,13,968758.0,3890.33,478790,0.4942
Melanoma_25_1_valid_patch_01,5744,10,1046434.0,4080.85,817954,0.7817
Melanoma_27_1_valid_patch_00,5735,10,1046472.5,4081.93,785597,0.7507
Melanoma_27_1_valid_patch_01,28272,14,1028446.0,3968.64,451534,0.439
Melanoma_29_1_valid_patch_00,11576,13,1001427.0,3912.79,590270,0.5894
Melanoma_29_1_valid_patch_01,6614,11,1046444.5,4082.54,674714,0.6448
Melanoma_30_1_valid_patch_00,10950,19,1044611.5,4031.48,577556,0.5529
Melanoma_30_1_valid_patch_01,8405,13,1046442.5,4080.24,625643,0.5979
PNST_04_1_valid_patch_00,9520,16,1045966.5,4063.73,647018,0.6186
PNST_04_1_valid_patch_01,13458,23,946500.5,3733.19,531931,0.562
PNST_15_1_valid_patch_00,10363,13,1043836.5,4054.88,534995,0.5125
PNST_15_1_valid_patch_01,6896,14,1043744.0,4042.98,647860,0.6207
PNST_18_1_valid_patch_00,12118,16,1046357.5,4071.5,558715,0.534
PNST_18_1_valid_patch_01,6295,12,1046422.0,4080.37,757539,0.7239
PNST_19_2_valid_patch_00,8680,7,1046506.0,4087.1,640539,0.6121
PNST_19_2_valid_patch_01,8334,13,1046372.5,4079.61,579316,0.5536
PNST_20_1_valid_patch_00,15003,15,1043949.5,4030.6,428232,0.4102
PNST_20_1_valid_patch_01,17001,19,1040534.5,3988.46,534455,0.5136
PNST_22_1_valid_patch_00,6493,9,1046450.5,4083.65,710333,0.6788
PNST_22_1_valid_patch_01,6366,12,1046385.0,4079.26,707826,0.6764
PNST_25_1_valid_patch_00,9815,9,1046460.0,4080.4,581287,0.5555
PNST_25_1_valid_patch_01,7193,10,1046274.5,4076.57,639589,0.6113
Plasmacytoma_05_1_valid_patch_00,13829,14,1043936.5,4042.57,640487,0.6135
Plasmacytoma_05_1_valid_patch_01,16708,15,1044601.5,4040.47,559190,0.5353
Plasmacytoma_13_1_valid_patch_00,12304,8,1046507.0,4086.34,758931,0.7252
Plasmacytoma_13_1_valid_patch_01,6356,11,1046482.5,4083.96,727054,0.6948
Plasmacytoma_16_1_valid_patch_00,7502,15,1046274.0,4068.85,608642,0.5817
Plasmacytoma_16_1_valid_patch_01,7298,13,1046257.0,4072.43,606803,0.58
Plasmacytoma_18_1_valid_patch_00,10417,15,1043051.0,4031.63,467476,0.4482
Plasmacytoma_18_1_valid_patch_01,11200,11,1046302.5,4080.52,531978,0.5084
Plasmacytoma_25_1_valid_patch_00,8285,13,1046277.5,4076.32,567909,0.5428
Plasmacytoma_25_1_valid_patch_01,7391,10,1046457.0,4079.89,752666,0.7193
Plasmacytoma_40_1_valid_patch_00,8591,13,1046389.5,4074.61,653334,0.6244
Plasmacytoma_40_1_valid_patch_01,9320,9,1046421.0,4080.25,676131,0.6461
Plasmacytoma_42_1_valid_patch_00,9749,10,1046330.0,4075.48,700787,0.6698
Plasmacytoma_42_1_valid_patch_01,11587,8,1046458.5,4083.06,668019,0.6384
SCC_01_2_valid_patch_00,12935,12,983499.0,3832.23,578554,0.5883
SCC_01_2_valid_patch_01,6765,11,1046472.0,4083.4,717999,0.6861
SCC_16_2_valid_patch_00,5941,9,1046471.5,4084.21,763737,0.7298
SCC_16_2_valid_patch_01,8379,16,865290.0,3734.54,555273,0.6417
SCC_17_1_valid_patch_00,18033,16,1046366.5,4075.28,549908,0.5255
SCC_17_1_valid_patch_01,9092,8,1046500.5,4086.98,556181,0.5315
SCC_24_1_valid_patch_00,5770,8,1046491.0,4087.21,757799,0.7241
SCC_24_1_valid_patch_01,10302,16,1024357.0,3929.87,620084,0.6053
SCC_25_1_valid_patch_00,5483,10,1046440.5,4081.69,826951,0.7903
SCC_25_1_valid_patch_01,6224,13,1045987.0,4065.06,695649,0.6651
SCC_26_1_valid_patch_00,8093,16,925027.5,3803.67,565253,0.6111
SCC_26_1_valid_patch_01,9037,17,1045406.0,4051.96,557842,0.5336
SCC_28_1_valid_patch_00,6921,10,1034239.0,3998.59,674615,0.6523
SCC_28_1_valid_patch_01,6583,14,1042845.0,4031.94,786423,0.7541
Trichoblastoma_19_1_valid_patch_00,14342,11,1045166.0,4056.24,689663,0.6599
Trichoblastoma_19_1_valid_patch_01,10986,10,1045545.0,4061.14,717611,0.6864
Trichoblastoma_22_1_valid_patch_00,12724,15,1032267.0,3984.76,576440,0.5584
Trichoblastoma_22_1_valid_patch_01,9743,14,1046329.0,4077.87,639048,0.6108
Trichoblastoma_23_1_valid_patch_00,5348,14,1046427.0,4079.59,768623,0.7345
Trichoblastoma_23_1_valid_patch_01,6020,12,1046424.0,4079.92,737660,0.7049
Trichoblastoma_25_1_valid_patch_00,25366,22,848606.5,3487.61,388392,0.4577
Trichoblastoma_25_1_valid_patch_01,2066,15,20023.5,543.79,93710,4.68
Trichoblastoma_29_1_valid_patch_00,7089,13,1046028.0,4067.22,660834,0.6318
Trichoblastoma_29_1_valid_patch_01,8081,14,1046411.0,4078.9,709918,0.6784
Trichoblastoma_31_1_valid_patch_00,5911,12,1046125.0,4064.16,720116,0.6884
Trichoblastoma_31_1_valid_patch_01,5496,13,1046300.0,4073.26,763974,0.7302
Trichoblastoma_35_1_valid_patch_00,11584,8,1046511.5,4087.17,669524,0.6398
Trichoblastoma_35_1_valid_patch_01,10462,13,1045143.5,4060.31,681245,0.6518
