Image,area,centroid_row,centroid_col,perimeter,circularity
Histiocytoma_06_1_valid_patch_00,423667,609.96,449.28,62722.01,0.001353
Histiocytoma_06_1_valid_patch_01,653371,518.75,506.75,112212.82,0.000652
Histiocytoma_14_1_valid_patch_00,362519,601.73,580.72,71694.78,0.000886
Histiocytoma_14_1_valid_patch_01,478205,563.82,571.23,106057.24,0.000534
Histiocytoma_22_1_valid_patch_00,472590,609.55,437.38,75754.93,0.001035
Histiocytoma_22_1_valid_patch_01,1148,377.44,170.35,128.81,0.86945
Histiocytoma_25_1_valid_patch_00,733966,506.44,473.65,85012.7,0.001276
Histiocytoma_25_1_valid_patch_01,587365,481.48,528.0,73571.3,0.001364
Histiocytoma_33_1_valid_patch_00,226062,211.01,277.46,23985.64,0.004938
Histiocytoma_33_1_valid_patch_01,447097,261.12,486.45,47823.21,0.002457
Histiocytoma_37_1_valid_patch_00,707439,501.95,497.0,98892.8,0.000909
Histiocytoma_37_1_valid_patch_01,703236,548.06,570.07,76806.69,0.001498
Histiocytoma_43_1_valid_patch_00,640759,518.14,508.18,99445.31,0.000814
Histiocytoma_43_1_valid_patch_01,483824,443.23,432.15,81689.91,0.000911
Histiocytoma_48_1_valid_patch_00,352353,466.14,754.1,57256.22,0.001351
Histiocytoma_48_1_valid_patch_01,832148,507.18,511.25,108482.91,0.000889
MCT_03_1_valid_patch_00,696490,456.35,544.97,92144.55,0.001031
MCT_03_1_valid_patch_01,580507,506.18,521.35,124803.39,0.000468
MCT_10_1_valid_patch_00,679302,492.69,534.09,94717.52,0.000952
MCT_10_1_valid_patch_01,779283,516.07,513.82,95967.34,0.001063
MCT_13_1_valid_patch_00,93284,860.18,275.78,17087.37,0.004015
MCT_13_1_valid_patch_01,224381,855.66,440.91,34447.46,0.002376
MCT_23_1_valid_patch_00,600164,511.09,524.14,119869.82,0.000525
MCT_23_1_valid_patch_01,440735,495.99,393.41,93174.69,0.000638
MCT_25_1_valid_patch_00,281162,571.73,572.61,68298.41,0.000757
MCT_25_1_valid_patch_01,693893,507.99,507.52,119152.09,0.000614
MCT_39_1_valid_patch_00,267732,817.79,566.17,43567.35,0.001773
MCT_39_1_valid_patch_01,661332,516.28,501.92,110521.22,0.00068
MCT_41_1_valid_patch_00,563422,493.08,497.93,128255.84,0.00043
MCT_41_1_valid_patch_01,566245,534.7,554.11,105179.12,0.000643
Melanoma_01_1_valid_patch_00,697479,512.46,511.87,131297.21,0.000508
Melanoma_01_1_valid_patch_01,705375,518.79,514.68,117000.0,0.000648
Melanoma_02_1_valid_patch_00,800234,503.24,506.43,107907.0,0.000864
Melanoma_02_1_valid_patch_01,705751,508.7,511.48,125123.77,0.000566
Melanoma_11_1_valid_patch_00,864965,509.81,510.33,89642.44,0.001353
Melanoma_11_1_valid_patch_01,5930,479.64,487.06,2946.29,0.008584
Melanoma_25_1_valid_patch_00,503175,385.2,538.02,82358.88,0.000932
Melanoma_25_1_valid_patch_01,838024,513.6,513.32,91937.92,0.001246
Melanoma_27_1_valid_patch_00,826970,503.33,512.38,100073.19,0.001038
Melanoma_27_1_valid_patch_01,243783,718.87,510.23,50740.48,0.00119
Melanoma_29_1_valid_patch_00,651379,450.88,463.38,102705.52,0.000776
Melanoma_29_1_valid_patch_01,827561,511.5,514.89,97580.0,0.001092
Melanoma_30_1_valid_patch_00,750104,505.87,500.47,109151.45,0.000791
Melanoma_30_1_valid_patch_01,780014,542.65,508.37,87075.81,0.001293
PNST_04_1_valid_patch_00,763422,540.69,517.2,101856.96,0.000925
PNST_04_1_valid_patch_01,534482,475.25,503.44,98676.43,0.00069
PNST_15_1_valid_patch_00,538978,569.23,498.2,85284.16,0.000931
