Image,energy_d1,entropy_d1,contrast_d1,energy_d3,entropy_d3,contrast_d3,energy_d5,entropy_d5,contrast_d5,energy_mean,entropy_mean,contrast_mean
Histiocytoma_06_1_valid_patch_00,0.573828,5.07383,96.621866,0.548707,5.541794,202.918972,0.519387,5.772829,307.159665,0.547307,5.462818,202.233501
Histiocytoma_06_1_valid_patch_01,0.339513,7.073079,124.136693,0.295363,7.825531,283.91758,0.245049,8.158809,465.455844,0.293308,7.685806,291.170039
Histiocytoma_14_1_valid_patch_00,0.620978,4.707862,99.504579,0.591985,5.209126,212.298622,0.559067,5.469278,331.18051,0.590677,5.128755,214.327904
Histiocytoma_14_1_valid_patch_01,0.506727,5.73927,98.183428,0.466196,6.377327,217.943258,0.422169,6.684925,350.82634,0.465031,6.267174,222.317675
Histiocytoma_22_1_valid_patch_00,0.453301,5.961351,179.110335,0.415963,6.546876,378.260228,0.37046,6.819916,605.378318,0.413241,6.442714,387.58296
Histiocytoma_22_1_valid_patch_01,0.998266,0.032818,0.503542,0.998117,0.036372,1.068923,0.997918,0.039721,1.708207,0.9981,0.036304,1.093557
Histiocytoma_25_1_valid_patch_00,0.270382,8.169089,132.45245,0.236523,8.90823,300.708035,0.196437,9.199381,462.075856,0.234447,8.7589,298.412114
Histiocytoma_25_1_valid_patch_01,0.415624,6.91265,101.53959,0.387605,7.559731,232.309614,0.35446,7.857647,368.42155,0.385896,7.443343,234.090251
Histiocytoma_33_1_valid_patch_00,0.776714,2.877645,26.648623,0.767656,3.115755,64.931478,0.756581,3.231898,103.019971,0.766984,3.075099,64.866691
Histiocytoma_33_1_valid_patch_01,0.558242,5.341306,45.891067,0.540297,5.830455,115.380986,0.518652,6.056228,186.817675,0.539064,5.742663,116.029909
Histiocytoma_37_1_valid_patch_00,0.293791,7.453482,186.444221,0.254946,8.122261,395.014448,0.209727,8.387224,612.153307,0.252821,7.987656,397.870659
Histiocytoma_37_1_valid_patch_01,0.30429,7.576362,146.795629,0.273565,8.239162,322.997702,0.236523,8.498293,498.660091,0.271459,8.104606,322.817807
Histiocytoma_43_1_valid_patch_00,0.347798,7.468977,161.611673,0.307786,8.194693,348.631144,0.261376,8.513184,540.033071,0.305653,8.058951,350.091963
Histiocytoma_43_1_valid_patch_01,0.507022,5.553348,119.288445,0.474844,6.124251,256.276713,0.437956,6.391271,401.63803,0.473274,6.022957,259.067729
Histiocytoma_48_1_valid_patch_00,0.482161,5.978267,156.447695,0.447794,6.56292,330.15697,0.407832,6.832636,515.365165,0.445929,6.457941,333.989943
Histiocytoma_48_1_valid_patch_01,0.173835,8.632318,114.858536,0.133021,9.494639,265.246473,0.08908,9.821627,429.093431,0.131979,9.316195,269.732813
MCT_03_1_valid_patch_00,0.301882,7.78131,117.281088,0.265848,8.591336,264.025491,0.224375,8.944984,419.915127,0.264035,8.43921,267.073902
MCT_03_1_valid_patch_01,0.399035,6.986,154.787025,0.350481,7.749042,326.858069,0.297371,8.101751,503.953652,0.348962,7.612264,328.532915
MCT_10_1_valid_patch_00,0.320582,7.859828,131.851827,0.283641,8.616482,294.241678,0.240568,8.932465,452.700263,0.281597,8.469592,292.931256
MCT_10_1_valid_patch_01,0.225883,8.745616,132.585339,0.18926,9.574426,306.854264,0.147074,9.894946,480.132878,0.187406,9.404996,306.52416
MCT_13_1_valid_patch_00,0.833006,2.303276,60.510241,0.81764,2.545781,122.276769,0.799951,2.688651,185.544306,0.816866,2.512569,122.777105
MCT_13_1_valid_patch_01,0.746375,3.384632,47.024057,0.731386,3.712914,105.764639,0.713919,3.885464,164.854457,0.73056,3.661003,105.881051
MCT_23_1_valid_patch_00,0.384412,7.060572,122.815515,0.338419,7.799373,266.09714,0.288455,8.131702,413.970349,0.337095,7.663882,267.627668
MCT_23_1_valid_patch_01,0.427158,6.654822,115.466589,0.383067,7.36952,243.611932,0.335928,7.710602,373.957904,0.382051,7.244981,244.345475
MCT_25_1_valid_patch_00,0.693583,3.818038,129.241739,0.664733,4.220551,262.689249,0.631749,4.437416,402.444154,0.663355,4.158668,264.791714
MCT_25_1_valid_patch_01,0.298402,7.670563,190.753975,0.252286,8.466819,406.428388,0.200096,8.817938,640.015251,0.250261,8.31844,412.399205
MCT_39_1_valid_patch_00,0.716973,3.735483,58.157669,0.698403,4.094544,127.962355,0.676822,4.281097,196.432141,0.697399,4.037041,127.517388
MCT_39_1_valid_patch_01,0.330428,7.602407,117.929542,0.287172,8.399058,266.49881,0.23765,8.753163,425.474558,0.285083,8.251543,269.967637
MCT_41_1_valid_patch_00,0.414105,6.679529,176.433555,0.364648,7.417078,365.711779,0.312011,7.764544,561.649718,0.363588,7.28705,367.931684
MCT_41_1_valid_patch_01,0.420054,6.729271,159.841415,0.377457,7.391258,332.673429,0.327326,7.701655,508.368413,0.374946,7.274061,333.627752
