Image,PSNR_AA,SSIM_AA,PSNR_No_AA,SSIM_No_AA,PSNR_Gain,SSIM_Gain
Histiocytoma_06_1_valid_patch_00,29.3283,0.889923,29.3801,0.903303,-0.0518,-0.01338
Histiocytoma_06_1_valid_patch_01,29.5987,0.857526,29.4955,0.881728,0.1032,-0.024202
Histiocytoma_14_1_valid_patch_00,30.2212,0.898208,29.7306,0.903911,0.4906,-0.005703
Histiocytoma_14_1_valid_patch_01,30.2879,0.886674,30.2748,0.900835,0.0131,-0.014161
Histiocytoma_22_1_valid_patch_00,29.3085,0.842461,30.6956,0.898583,-1.3871,-0.056122
Histiocytoma_22_1_valid_patch_01,42.5288,0.971751,41.6627,0.973941,0.8661,-0.00219
Histiocytoma_25_1_valid_patch_00,25.2044,0.808351,25.5842,0.857307,-0.3798,-0.048956
Histiocytoma_25_1_valid_patch_01,27.174,0.871764,27.8172,0.908908,-0.6432,-0.037144
Histiocytoma_33_1_valid_patch_00,31.1754,0.832951,31.4966,0.833784,-0.3212,-0.000833
Histiocytoma_33_1_valid_patch_01,28.718,0.844093,29.0805,0.85832,-0.3625,-0.014227
Histiocytoma_37_1_valid_patch_00,29.7031,0.808778,30.2834,0.855998,-0.5803,-0.04722
Histiocytoma_37_1_valid_patch_01,26.5774,0.80467,27.3823,0.860702,-0.8049,-0.056032
Histiocytoma_43_1_valid_patch_00,26.4946,0.851008,26.9653,0.889893,-0.4707,-0.038885
Histiocytoma_43_1_valid_patch_01,30.2452,0.875255,30.7099,0.905333,-0.4647,-0.030078
Histiocytoma_48_1_valid_patch_00,28.4696,0.885165,29.2142,0.918068,-0.7446,-0.032903
Histiocytoma_48_1_valid_patch_01,27.3806,0.824405,28.0479,0.876798,-0.6673,-0.052393
MCT_03_1_valid_patch_00,28.4017,0.865171,29.4057,0.908531,-1.004,-0.04336
MCT_03_1_valid_patch_01,28.9844,0.906704,28.5435,0.922264,0.4409,-0.01556
MCT_10_1_valid_patch_00,26.4454,0.861264,26.6482,0.890157,-0.2028,-0.028893
MCT_10_1_valid_patch_01,25.7644,0.853124,26.2617,0.894332,-0.4973,-0.041208
MCT_13_1_valid_patch_00,32.1208,0.89748,32.2191,0.896426,-0.0983,0.001054
MCT_13_1_valid_patch_01,29.696,0.868093,29.8132,0.864758,-0.1172,0.003335
MCT_23_1_valid_patch_00,27.9155,0.883576,28.1782,0.913285,-0.2627,-0.029709
MCT_23_1_valid_patch_01,28.9122,0.890144,28.5891,0.907875,0.3231,-0.017731
MCT_25_1_valid_patch_00,31.0584,0.90889,30.659,0.917316,0.3994,-0.008426
MCT_25_1_valid_patch_01,28.5375,0.86244,29.2447,0.907574,-0.7072,-0.045134
MCT_39_1_valid_patch_00,29.7597,0.866298,30.1995,0.872368,-0.4398,-0.00607
MCT_39_1_valid_patch_01,27.4387,0.870606,28.1221,0.902802,-0.6834,-0.032196
MCT_41_1_valid_patch_00,30.0356,0.893059,29.5425,0.904917,0.4931,-0.011858
MCT_41_1_valid_patch_01,26.7063,0.848542,27.0847,0.882949,-0.3784,-0.034407
Melanoma_01_1_valid_patch_00,29.3099,0.862397,29.4265,0.896543,-0.1166,-0.034146
Melanoma_01_1_valid_patch_01,28.9386,0.870486,28.8963,0.892612,0.0423,-0.022126
Melanoma_02_1_valid_patch_00,26.7849,0.859464,27.0635,0.895091,-0.2786,-0.035627
Melanoma_02_1_valid_patch_01,27.8235,0.877736,27.6833,0.902512,0.1402,-0.024776
Melanoma_11_1_valid_patch_00,24.7094,0.842482,25.071,0.884498,-0.3616,-0.042016
Melanoma_11_1_valid_patch_01,37.8612,0.960536,35.5316,0.951619,2.3296,0.008917
Melanoma_25_1_valid_patch_00,24.8627,0.854931,25.8431,0.891689,-0.9804,-0.036758
Melanoma_25_1_valid_patch_01,27.0046,0.775973,27.963,0.848354,-0.9584,-0.072381
Melanoma_27_1_valid_patch_00,28.2324,0.811239,29.2615,0.874112,-1.0291,-0.062873
Melanoma_27_1_valid_patch_01,28.7776,0.891398,28.513,0.909588,0.2646,-0.01819
Melanoma_29_1_valid_patch_00,27.0345,0.856612,27.0912,0.878455,-0.0567,-0.021843
Melanoma_29_1_valid_patch_01,25.8037,0.844621,26.7808,0.895976,-0.9771,-0.051355
Melanoma_30_1_valid_patch_00,27.9538,0.875497,28.1927,0.911353,-0.2389,-0.035856
Melanoma_30_1_valid_patch_01,27.4076,0.861297,27.9479,0.893237,-0.5403,-0.03194
PNST_04_1_valid_patch_00,25.4269,0.823263,26.014,0.866154,-0.5871,-0.042891
PNST_04_1_valid_patch_01,27.846,0.860205,28.631,0.890158,-0.785,-0.029953
PNST_15_1_valid_patch_00,27.3638,0.857086,26.7072,0.868011,0.6566,-0.010925
PNST_15_1_valid_patch_01,27.142,0.849646,26.4408,0.869208,0.7012,-0.019562
PNST_18_1_valid_patch_00,28.1332,0.871739,28.1017,0.892036,0.0315,-0.020297
PNST_18_1_valid_patch_01,27.7496,0.816382,28.757,0.875358,-1.0074,-0.058976
PNST_19_2_valid_patch_00,29.5407,0.862176,30.4371,0.904302,-0.8964,-0.042126
PNST_19_2_valid_patch_01,30.1162,0.879766,30.1821,0.906267,-0.0659,-0.026501
PNST_20_1_valid_patch_00,29.2928,0.90068,28.9625,0.910352,0.3303,-0.009672
PNST_20_1_valid_patch_01,31.4286,0.88892,31.3202,0.901093,0.1084,-0.012173
PNST_22_1_valid_patch_00,27.3011,0.838896,28.1241,0.889314,-0.823,-0.050418
PNST_22_1_valid_patch_01,27.9038,0.846616,29.1391,0.90861,-1.2353,-0.061994
PNST_25_1_valid_patch_00,30.2574,0.878713,31.1059,0.915373,-0.8485,-0.03666
PNST_25_1_valid_patch_01,28.9979,0.857624,30.1602,0.90402,-1.1623,-0.046396
Plasmacytoma_05_1_valid_patch_00,30.6575,0.910065,31.0639,0.926987,-0.4064,-0.016922
Plasmacytoma_05_1_valid_patch_01,30.4771,0.915146,30.6398,0.927307,-0.1627,-0.012161
Plasmacytoma_13_1_valid_patch_00,32.0627,0.862246,32.4995,0.88498,-0.4368,-0.022734
Plasmacytoma_13_1_valid_patch_01,27.2135,0.836253,27.9385,0.893709,-0.725,-0.057456
Plasmacytoma_16_1_valid_patch_00,26.2632,0.861932,26.7033,0.899836,-0.4401,-0.037904
Plasmacytoma_16_1_valid_patch_01,26.1962,0.864932,26.8065,0.90479,-0.6103,-0.039858
Plasmacytoma_18_1_valid_patch_00,29.4737,0.911804,29.4746,0.93724,-0.0009,-0.025436
Plasmacytoma_18_1_valid_patch_01,28.2864,0.889431,28.2753,0.915286,0.0111,-0.025855
Plasmacytoma_25_1_valid_patch_00,26.7362,0.875843,26.8294,0.905454,-0.0932,-0.029611
