Image,Shape,Dtype,Declared Bits,Pixel Min,Pixel Max,Actual Bits (est.),False Contouring Risk
Histiocytoma_06_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,19,255,8,LOW
Histiocytoma_06_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,28,255,8,LOW
Histiocytoma_14_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,19,255,8,LOW
Histiocytoma_14_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,10,255,8,LOW
Histiocytoma_22_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,16,255,8,LOW
Histiocytoma_22_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,23,253,8,LOW
Histiocytoma_25_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,7,255,8,LOW
Histiocytoma_25_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,10,255,8,LOW
Histiocytoma_33_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,19,255,8,LOW
Histiocytoma_33_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,16,255,8,LOW
Histiocytoma_37_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,73,255,8,LOW
Histiocytoma_37_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,25,255,8,LOW
Histiocytoma_43_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,10,255,8,LOW
Histiocytoma_43_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,22,255,8,LOW
Histiocytoma_48_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,14,255,8,LOW
Histiocytoma_48_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,15,255,8,LOW
MCT_03_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,17,255,8,LOW
MCT_03_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,13,255,8,LOW
MCT_10_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,12,255,8,LOW
MCT_10_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,11,255,8,LOW
MCT_13_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,12,255,8,LOW
MCT_13_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,11,255,8,LOW
MCT_23_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,6,255,8,LOW
MCT_23_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,12,255,8,LOW
MCT_25_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,22,255,8,LOW
MCT_25_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,16,255,8,LOW
MCT_39_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,17,255,8,LOW
MCT_39_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,0,255,8,LOW
MCT_41_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,22,255,8,LOW
MCT_41_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,19,255,8,LOW
Melanoma_01_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,13,255,8,LOW
Melanoma_01_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,13,255,8,LOW
Melanoma_02_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,3,255,8,LOW
Melanoma_02_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,4,255,8,LOW
Melanoma_11_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,0,255,8,LOW
Melanoma_11_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,39,255,8,LOW
Melanoma_25_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,0,255,8,LOW
Melanoma_25_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,5,255,8,LOW
Melanoma_27_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,18,255,8,LOW
Melanoma_27_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,13,255,8,LOW
Melanoma_29_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,0,255,8,LOW
Melanoma_29_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,0,255,8,LOW
Melanoma_30_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,30,255,8,LOW
Melanoma_30_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,14,255,8,LOW
PNST_04_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,15,255,8,LOW
PNST_04_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,12,255,8,LOW
PNST_15_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,10,255,8,LOW
PNST_15_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,9,255,8,LOW
PNST_18_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,26,255,8,LOW
PNST_18_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,22,255,8,LOW
PNST_19_2_valid_patch_00,"(1024, 1024, 3)",uint8,8,21,255,8,LOW
PNST_19_2_valid_patch_01,"(1024, 1024, 3)",uint8,8,17,255,8,LOW
PNST_20_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,20,255,8,LOW
PNST_20_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,29,255,8,LOW
PNST_22_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,10,255,8,LOW
PNST_22_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,5,255,8,LOW
PNST_25_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,11,255,8,LOW
PNST_25_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,16,255,8,LOW
Plasmacytoma_05_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,28,255,8,LOW
Plasmacytoma_05_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,33,255,8,LOW
Plasmacytoma_13_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,4,255,8,LOW
Plasmacytoma_13_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,17,255,8,LOW
Plasmacytoma_16_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,8,255,8,LOW
Plasmacytoma_16_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,11,255,8,LOW
Plasmacytoma_18_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,16,255,8,LOW
Plasmacytoma_18_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,8,255,8,LOW
Plasmacytoma_25_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,17,255,8,LOW
Plasmacytoma_25_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,18,255,8,LOW
Plasmacytoma_40_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,17,255,8,LOW
Plasmacytoma_40_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,21,255,8,LOW
Plasmacytoma_42_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,22,255,8,LOW
Plasmacytoma_42_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,4,255,8,LOW
SCC_01_2_valid_patch_00,"(1024, 1024, 3)",uint8,8,5,255,8,LOW
SCC_01_2_valid_patch_01,"(1024, 1024, 3)",uint8,8,22,255,8,LOW
SCC_16_2_valid_patch_00,"(1024, 1024, 3)",uint8,8,5,255,8,LOW
SCC_16_2_valid_patch_01,"(1024, 1024, 3)",uint8,8,17,255,8,LOW
SCC_17_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,13,255,8,LOW
SCC_17_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,17,255,8,LOW
SCC_24_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,29,255,8,LOW
SCC_24_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,2,255,8,LOW
SCC_25_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,24,255,8,LOW
SCC_25_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,14,255,8,LOW
SCC_26_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,5,255,8,LOW
SCC_26_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,7,255,8,LOW
SCC_28_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,8,255,8,LOW
SCC_28_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,29,255,8,LOW
Trichoblastoma_19_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,32,255,8,LOW
Trichoblastoma_19_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,19,255,8,LOW
Trichoblastoma_22_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,9,255,8,LOW
Trichoblastoma_22_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,17,255,8,LOW
Trichoblastoma_23_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,11,255,8,LOW
Trichoblastoma_23_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,3,255,8,LOW
Trichoblastoma_25_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,14,255,8,LOW
Trichoblastoma_25_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,37,254,8,LOW
Trichoblastoma_29_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,26,255,8,LOW
Trichoblastoma_29_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,31,255,8,LOW
Trichoblastoma_31_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,12,255,8,LOW
Trichoblastoma_31_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,13,255,8,LOW
Trichoblastoma_35_1_valid_patch_00,"(1024, 1024, 3)",uint8,8,19,255,8,LOW
Trichoblastoma_35_1_valid_patch_01,"(1024, 1024, 3)",uint8,8,19,255,8,LOW
