Image,PSNR_Gaussian,SSIM_Gaussian,PSNR_Mean,SSIM_Mean,PSNR_Median,SSIM_Median
Histiocytoma_06_1_valid_patch_00,32.7868,0.943128,28.4285,0.865704,30.1018,0.898685
Histiocytoma_06_1_valid_patch_01,33.0756,0.933387,28.7213,0.822175,30.2574,0.86082
Histiocytoma_14_1_valid_patch_00,33.7444,0.943167,29.4266,0.879365,31.034,0.901738
Histiocytoma_14_1_valid_patch_01,33.813,0.937792,29.4812,0.86419,31.1816,0.890138
Histiocytoma_22_1_valid_patch_00,32.6881,0.928807,28.3536,0.799033,29.7323,0.847326
Histiocytoma_22_1_valid_patch_01,46.1051,0.985483,41.8303,0.965154,42.4028,0.967917
Histiocytoma_25_1_valid_patch_00,28.6537,0.915254,24.2534,0.754439,25.7288,0.813399
Histiocytoma_25_1_valid_patch_01,30.7967,0.944267,26.2342,0.836639,27.8472,0.875631
Histiocytoma_33_1_valid_patch_00,33.9385,0.875931,30.2944,0.81237,31.1875,0.824831
Histiocytoma_33_1_valid_patch_01,32.0966,0.90338,27.7993,0.816103,28.9917,0.840233
Histiocytoma_37_1_valid_patch_00,32.8087,0.908613,28.6711,0.75401,29.5758,0.800275
Histiocytoma_37_1_valid_patch_01,29.9378,0.91258,25.5564,0.74847,26.9543,0.815158
Histiocytoma_43_1_valid_patch_00,30.0491,0.934793,25.5745,0.810596,27.291,0.86283
Histiocytoma_43_1_valid_patch_01,33.6952,0.942543,29.2739,0.839266,30.5612,0.869282
Histiocytoma_48_1_valid_patch_00,32.0227,0.949186,27.5425,0.853957,29.1828,0.893713
Histiocytoma_48_1_valid_patch_01,30.8658,0.922782,26.4304,0.775342,27.7073,0.820178
MCT_03_1_valid_patch_00,32.1987,0.939088,27.5468,0.833086,29.4286,0.875869
MCT_03_1_valid_patch_01,33.062,0.960418,28.2646,0.886996,30.69,0.92157
MCT_10_1_valid_patch_00,30.2913,0.942676,25.5459,0.82447,27.275,0.870688
MCT_10_1_valid_patch_01,29.6213,0.940925,24.868,0.813316,26.4204,0.859887
MCT_13_1_valid_patch_00,34.973,0.925229,31.3934,0.886427,33.349,0.901409
MCT_13_1_valid_patch_01,33.0672,0.904622,28.9056,0.853789,31.3085,0.875325
MCT_23_1_valid_patch_00,31.7101,0.94949,27.0773,0.854802,29.1043,0.894049
MCT_23_1_valid_patch_01,32.5918,0.949667,28.0777,0.864107,29.9561,0.897381
MCT_25_1_valid_patch_00,34.2538,0.949194,30.2336,0.890397,32.2109,0.916888
MCT_25_1_valid_patch_01,32.1296,0.938771,27.653,0.826951,29.3436,0.869082
MCT_39_1_valid_patch_00,33.0367,0.908549,28.9353,0.848155,30.3397,0.866227
MCT_39_1_valid_patch_01,31.1824,0.944991,26.5703,0.837707,28.263,0.880067
MCT_41_1_valid_patch_00,33.557,0.948749,29.2618,0.869494,31.0489,0.900584
MCT_41_1_valid_patch_01,30.1315,0.928943,25.68,0.807376,27.9978,0.872803
Melanoma_01_1_valid_patch_00,32.6357,0.933816,28.4674,0.829523,29.8408,0.863211
Melanoma_01_1_valid_patch_01,32.4648,0.94179,28.1222,0.840395,29.5517,0.878624
Melanoma_02_1_valid_patch_00,30.6312,0.943097,25.9004,0.821624,27.668,0.868151
Melanoma_02_1_valid_patch_01,31.6849,0.949572,26.9655,0.846245,28.945,0.890322
Melanoma_11_1_valid_patch_00,28.5203,0.936291,23.8017,0.798679,25.2375,0.841951
Melanoma_11_1_valid_patch_01,39.9847,0.971283,37.5625,0.957196,38.6621,0.960869
Melanoma_25_1_valid_patch_00,28.3989,0.926399,23.9746,0.822948,25.5183,0.861253
Melanoma_25_1_valid_patch_01,30.2883,0.897882,26.0117,0.712219,26.8457,0.757524
Melanoma_27_1_valid_patch_00,31.6682,0.91734,27.2515,0.757645,28.0922,0.797331
Melanoma_27_1_valid_patch_01,32.3559,0.951256,27.8716,0.863025,30.1362,0.907827
Melanoma_29_1_valid_patch_00,30.6854,0.932724,26.1733,0.822199,27.7635,0.859751
Melanoma_29_1_valid_patch_01,29.5715,0.936851,24.9091,0.802721,26.1023,0.842925
Melanoma_30_1_valid_patch_00,31.9091,0.950643,27.1476,0.84541,28.9632,0.88802
Melanoma_30_1_valid_patch_01,31.3103,0.944057,26.5474,0.826419,28.1786,0.873254
PNST_04_1_valid_patch_00,28.8896,0.923073,24.3868,0.770166,26.2141,0.835585
PNST_04_1_valid_patch_01,31.2518,0.931089,26.9566,0.826806,28.9891,0.87006
PNST_15_1_valid_patch_00,30.8038,0.929253,26.4783,0.823174,28.1568,0.86151
PNST_15_1_valid_patch_01,30.7802,0.936117,26.2981,0.811054,27.7909,0.853859
PNST_18_1_valid_patch_00,31.8988,0.94368,27.2519,0.839587,29.3469,0.887609
PNST_18_1_valid_patch_01,31.2509,0.920728,26.8113,0.765697,27.8528,0.808392
PNST_19_2_valid_patch_00,33.1881,0.940293,28.6755,0.826548,30.094,0.864148
PNST_19_2_valid_patch_01,33.7614,0.947216,29.2145,0.848037,30.7468,0.881372
PNST_20_1_valid_patch_00,32.9955,0.947341,28.3923,0.880146,31.5019,0.919062
PNST_20_1_valid_patch_01,34.8882,0.943433,30.5675,0.863263,32.0939,0.889876
PNST_22_1_valid_patch_00,31.005,0.933492,26.3515,0.793154,27.5434,0.834547
PNST_22_1_valid_patch_01,31.681,0.937793,26.9965,0.804739,28.1036,0.842092
PNST_25_1_valid_patch_00,33.8678,0.945812,29.3919,0.846936,31.0258,0.878718
PNST_25_1_valid_patch_01,32.6137,0.938661,28.1066,0.819575,29.5478,0.85824
Plasmacytoma_05_1_valid_patch_00,33.7762,0.951315,29.7488,0.890296,31.3084,0.916164
Plasmacytoma_05_1_valid_patch_01,33.7316,0.954626,29.5376,0.895505,31.489,0.923957
Plasmacytoma_13_1_valid_patch_00,34.9143,0.916113,31.1663,0.834307,31.8397,0.848046
Plasmacytoma_13_1_valid_patch_01,30.9313,0.933147,26.2904,0.791075,27.4691,0.832075
Plasmacytoma_16_1_valid_patch_00,30.0874,0.944104,25.3711,0.824896,26.8864,0.866198
Plasmacytoma_16_1_valid_patch_01,30.0733,0.94576,25.3383,0.829696,26.9955,0.872293
Plasmacytoma_18_1_valid_patch_00,33.6423,0.965749,28.7154,0.891125,30.9202,0.923403
Plasmacytoma_18_1_valid_patch_01,32.1536,0.954328,27.4224,0.860573,29.4214,0.899139
Plasmacytoma_25_1_valid_patch_00,30.6889,0.950809,25.9216,0.844938,27.5082,0.881554
Plasmacytoma_25_1_valid_patch_01,30.1064,0.902518,25.6511,0.720109,26.9116,0.765125
Plasmacytoma_40_1_valid_patch_00,33.0708,0.958888,28.3837,0.876659,30.1717,0.908502
Plasmacytoma_40_1_valid_patch_01,35.6274,0.975155,30.8957,0.930654,33.3992,0.952861
Plasmacytoma_42_1_valid_patch_00,35.2068,0.973459,30.6426,0.929293,32.8419,0.949552
Plasmacytoma_42_1_valid_patch_01,34.6601,0.972258,30.1212,0.926981,31.6728,0.939979
SCC_01_2_valid_patch_00,31.5146,0.912732,27.394,0.79948,28.5186,0.832822
SCC_01_2_valid_patch_01,31.0417,0.928801,26.5194,0.788586,27.7546,0.83019
SCC_16_2_valid_patch_00,31.752,0.913697,27.3862,0.761076,28.4772,0.800339
SCC_16_2_valid_patch_01,32.1934,0.929649,27.9741,0.826454,29.8349,0.861828
SCC_17_1_valid_patch_00,32.1155,0.931969,27.9539,0.826467,29.6329,0.864487
SCC_17_1_valid_patch_01,32.014,0.944918,27.51,0.844778,28.9778,0.877171
SCC_24_1_valid_patch_00,31.3344,0.917611,26.8625,0.759297,28.1615,0.806675
SCC_24_1_valid_patch_01,31.2284,0.927542,26.733,0.803403,28.4206,0.853494
SCC_25_1_valid_patch_00,32.553,0.911421,28.0455,0.733531,29.1515,0.786294
SCC_25_1_valid_patch_01,31.1344,0.936155,26.4263,0.799852,27.8215,0.842319
SCC_26_1_valid_patch_00,33.3734,0.92466,29.2461,0.831629,30.7519,0.860499
SCC_26_1_valid_patch_01,32.9213,0.934372,28.6635,0.84169,30.1869,0.87008
SCC_28_1_valid_patch_00,29.9103,0.933552,25.2923,0.797186,26.5574,0.840021
SCC_28_1_valid_patch_01,30.549,0.898734,26.2638,0.717805,27.2723,0.767909
Trichoblastoma_19_1_valid_patch_00,29.0362,0.906657,24.6689,0.730111,25.9165,0.78522
Trichoblastoma_19_1_valid_patch_01,32.6013,0.916501,28.4015,0.824011,29.5195,0.84905
Trichoblastoma_22_1_valid_patch_00,29.9964,0.941471,25.5038,0.826729,26.8688,0.869688
Trichoblastoma_22_1_valid_patch_01,32.753,0.943317,28.1329,0.827927,29.4368,0.86274
Trichoblastoma_23_1_valid_patch_00,32.1104,0.924403,27.623,0.774201,28.5035,0.810562
Trichoblastoma_23_1_valid_patch_01,31.3457,0.930606,26.7276,0.785776,27.74,0.824377
Trichoblastoma_25_1_valid_patch_00,34.2291,0.963516,29.651,0.894818,31.5791,0.923296
Trichoblastoma_25_1_valid_patch_01,46.4489,0.991876,42.2587,0.981021,44.2314,0.984554
Trichoblastoma_29_1_valid_patch_00,32.0315,0.944777,27.3086,0.826408,29.1635,0.876166
Trichoblastoma_29_1_valid_patch_01,31.4101,0.932715,26.8788,0.79605,28.5991,0.851421
Trichoblastoma_31_1_valid_patch_00,30.5109,0.929143,25.8815,0.779324,26.9577,0.821772
Trichoblastoma_31_1_valid_patch_01,29.4777,0.922433,24.8715,0.754814,25.8923,0.801197
Trichoblastoma_35_1_valid_patch_00,32.0707,0.933767,27.5054,0.801728,29.0444,0.849124
Trichoblastoma_35_1_valid_patch_01,31.9519,0.933036,27.3778,0.798339,28.9051,0.847198
